category,table,rowKey,column,value,reason
"legacy-archive","AbpAuditLogExcelFiles","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpBackgroundJobs","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpEventInbox","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpLinkUsers","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpLocalizationResources","","Identity","33","Stored in legacy_migration.source_rows"
"legacy-archive","AbpLocalizationTexts","","Identity","55","Stored in legacy_migration.source_rows"
"legacy-archive","AbpOrganizationUnits_Backup","","Identity","55","Stored in legacy_migration.source_rows"
"legacy-archive","AbpOrganizationUnits_Backup_20260601","","Identity","56","Stored in legacy_migration.source_rows"
"legacy-archive","AbpTextTemplateContents","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpTextTemplateDefinitionContentRecords","","Identity","10","Stored in legacy_migration.source_rows"
"legacy-archive","AbpTextTemplateDefinitionRecords","","Identity","10","Stored in legacy_migration.source_rows"
"legacy-archive","AbpUserDelegations","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpUserLogins","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpUserTokens","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","AbpUsers_Backup_BeforeSwapNameSurname","","Identity","942","Stored in legacy_migration.source_rows"
"legacy-archive","AppBooks","","Identity","2","Stored in legacy_migration.source_rows"
"legacy-archive","AppDocumentBackgroundOperations","","Document","0","Stored in legacy_migration.source_rows"
"legacy-archive","AppDocumentWorkflowInstanceExtensions","","Document","0","Stored in legacy_migration.source_rows"
"legacy-archive","AppDocumentWorkflowInstanceFiles","","Document","23","Stored in legacy_migration.source_rows"
"legacy-archive","AppDocumentWorkflowInstanceLogss","","Document","47","Stored in legacy_migration.source_rows"
"legacy-archive","AppNotificationOutboxes","","Collaboration","0","Stored in legacy_migration.source_rows"
"legacy-archive","AppWorkflowStepAssignments","","Document","88","Stored in legacy_migration.source_rows"
"legacy-archive","AppWorkflows","","Document","30","Stored in legacy_migration.source_rows"
"legacy-archive","ChatUsers","","Collaboration","109","Stored in legacy_migration.source_rows"
"legacy-archive","FmDirectoryDescriptors","","Identity","1","Stored in legacy_migration.source_rows"
"legacy-archive","FmFileDescriptors","","Identity","2","Stored in legacy_migration.source_rows"
"legacy-archive","FrmAnswers","","Identity","3","Stored in legacy_migration.source_rows"
"legacy-archive","FrmChoices","","Identity","2","Stored in legacy_migration.source_rows"
"legacy-archive","FrmFormResponses","","Identity","1","Stored in legacy_migration.source_rows"
"legacy-archive","FrmForms","","Identity","2","Stored in legacy_migration.source_rows"
"legacy-archive","FrmQuestions","","Identity","4","Stored in legacy_migration.source_rows"
"legacy-archive","GdprInfo","","Identity","1","Stored in legacy_migration.source_rows"
"legacy-archive","GdprRequests","","Identity","1","Stored in legacy_migration.source_rows"
"legacy-archive","OpenIddictApplications","","Identity","6","Stored in legacy_migration.source_rows"
"legacy-archive","OpenIddictAuthorizations","","Identity","19","Stored in legacy_migration.source_rows"
"legacy-archive","OpenIddictScopes","","Identity","1","Stored in legacy_migration.source_rows"
"legacy-archive","OpenIddictTokens","","Identity","151","Stored in legacy_migration.source_rows"
"legacy-archive","SaasEditions","","Identity","1","Stored in legacy_migration.source_rows"
"legacy-archive","SaasTenantConnectionStrings","","Identity","0","Stored in legacy_migration.source_rows"
"legacy-archive","SaasTenants","","Identity","3","Stored in legacy_migration.source_rows"
"legacy-archive","__EFMigrationsHistory","","Identity","122","Stored in legacy_migration.source_rows"
