category,table,rowKey,column,value,reason
"missing-user","AbpRoleClaims","025b129e-d037-453d-85a5-f6c5ec347706","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","035632a9-9e74-41ca-a02b-3c9add4dfb45","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","03e204dd-198a-4fe4-bf1f-db23bfee412a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0439760d-e3c2-4b34-8465-26f5294f7e19","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","04ab9913-df7c-42ad-9107-0fe43b8a05f2","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","06380181-3e29-4444-9b31-a374b3fb34e8","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","065cecd7-1279-4b73-b1fd-261c3eddca56","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","087ef39d-f2d7-43fa-a032-dab68523922e","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0a1f61f7-744b-49d8-afec-2609a06025e3","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0a215a30-d117-4e6b-b245-ee4e5c3d50bd","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0ad28e74-34c3-4cd7-a286-1a8b83dfcac6","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0aed959f-4f5a-4158-9988-d20515b00f2d","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0b416fd6-c8e0-4624-9bb8-4712ce395596","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0b8e00ce-235a-43b7-9462-a4a251e79c99","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0c7dbed2-ae8b-43ec-90a3-654d88fe5239","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0ea53958-faab-4f70-a5b6-daa50d2ad99a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0eebd952-4136-4482-a3c8-a0462ac62abc","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","0f963c18-898e-42a1-a4a7-08d042f2e134","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","110a583f-0316-4535-a451-dd13f892c181","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","11819ed9-26fa-47a0-992f-0620f0b6e53f","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","138564f9-2b92-4a81-b225-c64fa84cc1e0","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","13fdc061-3131-4208-9104-62db334560af","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","145652f5-00e8-4399-a1e9-59b2479b3bd9","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","15ccb339-aff8-4a7f-9ade-07ffd84d3aa3","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","1648f7c7-4691-4bc8-bee1-5b223aa591c8","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","16e32b12-34b2-4dfc-ba42-12ef41fbf43e","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","193a06f2-1d38-4c89-8340-48eb7db6b942","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","1c229db7-f923-4d9f-ab63-021fc068ef54","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","1e0ade64-8aef-40d9-ab04-76407cb1c907","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","2109eb66-c1d1-4b6d-98f8-fd87080f64c6","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
